Start;End;Sleep quality;Time in bed;Wake up;Sleep Notes;Heart rate;Activity (steps)
2017-09-05 23:07:50;2017-09-06 07:21:10;95%;8:13;;;0;0
2017-09-06 23:15:00;2017-09-07 01:15:59;23%;2:00;;;0;0
2017-09-07 01:16:26;2017-09-07 07:18:26;66%;6:01;;;0;0
2017-09-08 02:31:04;2017-09-08 10:39:11;80%;8:08;;;0;0
2017-09-09 04:02:02;2017-09-09 12:25:55;85%;8:23;;;0;0
2017-09-10 02:43:06;2017-09-10 11:02:03;82%;8:18;;;0;13272
2017-09-11 01:06:56;2017-09-11 09:53:16;84%;8:46;;;0;3462
2017-09-11 23:55:41;2017-09-12 00:15:15;4%;0:19;;;0;5387
2017-09-12 00:15:32;2017-09-12 08:14:32;77%;7:59;;;0;5387
2017-09-13 00:45:18;2017-09-13 08:52:20;77%;8:07;;;0;9201
2017-09-13 23:57:29;2017-09-14 07:56:00;88%;7:58;;;0;5663
2017-09-14 22:55:00;2017-09-14 23:18:59;5%;0:23;;;0;7150
2017-09-15 01:35:21;2017-09-15 08:19:20;74%;6:43;;;0;7243
2017-09-18 00:33:18;2017-09-18 08:16:51;74%;7:43;;;0;1273
2017-09-19 02:08:41;2017-09-19 08:33:52;76%;6:25;;;0;4925
2017-09-20 01:16:35;2017-09-20 08:00:12;76%;6:43;;;0;11060
2017-09-22 00:06:26;2017-09-22 07:43:41;82%;7:37;;;0;8285
2017-09-26 00:22:15;2017-09-26 08:34:45;84%;8:12;;;0;4300
2017-09-26 22:29:10;2017-09-27 07:56:48;100%;9:27;;;0;4655
2017-09-27 21:51:26;2017-09-28 08:00:18;83%;10:08;;;0;5064
2017-09-28 23:59:40;2017-09-29 09:00:25;83%;9:00;;;0;7679
2017-10-01 23:07:41;2017-10-02 00:43:41;9%;1:35;;;0;5436
2017-10-02 01:48:04;2017-10-02 09:54:41;87%;8:06;;;0;5444
2017-10-04 23:45:02;2017-10-05 08:00:40;88%;8:15;;;0;7058
2017-10-06 02:14:52;2017-10-06 08:24:14;71%;6:09;;;0;6297
2017-10-07 01:20:53;2017-10-07 09:04:04;86%;7:43;;;0;1991
2017-10-08 00:23:43;2017-10-08 09:52:24;100%;9:28;;;0;6805
2017-10-09 00:44:31;2017-10-09 08:58:23;95%;8:13;;;0;9428
2017-10-10 00:27:05;2017-10-10 07:38:10;85%;7:11;;;0;1454
2017-10-10 23:37:13;2017-10-11 07:55:31;85%;8:18;;;0;3454
2017-10-12 00:15:03;2017-10-12 08:08:54;79%;7:53;;;0;7391
2017-10-15 01:15:35;2017-10-15 09:42:30;90%;8:26;;;0;6890
2017-10-16 02:46:02;2017-10-16 09:46:00;79%;6:59;;;0;4607
2017-10-16 23:59:12;2017-10-17 08:08:25;89%;8:09;;;0;6960
2017-10-18 00:53:14;2017-10-18 09:00:17;85%;8:07;;;0;10138
2017-10-19 01:18:16;2017-10-19 09:12:52;68%;7:54;;;0;4908
2017-10-19 23:54:54;2017-10-20 08:49:46;98%;8:54;;;0;4636
2017-10-21 03:04:43;2017-10-21 10:43:30;83%;7:38;;;0;5963
2017-10-22 03:29:31;2017-10-22 10:50:37;69%;7:21;;;0;9783
2017-10-23 01:20:30;2017-10-23 09:25:20;89%;8:04;;;0;3236
2017-10-23 22:14:04;2017-10-23 22:44:01;6%;0:29;;;0;5423
2017-10-24 00:18:43;2017-10-24 02:24:56;13%;2:06;;;0;5431
2017-10-25 00:06:48;2017-10-25 08:03:04;86%;7:56;;;0;6711
2017-10-26 01:18:48;2017-10-26 09:12:48;78%;7:54;;;0;9375
2017-10-26 22:24:40;2017-10-27 08:06:09;88%;9:41;;;0;6316
2017-10-27 23:32:28;2017-10-28 09:01:48;92%;9:29;;;0;15153
2017-10-28 23:32:48;2017-10-29 08:32:27;93%;8:59;;;0;7438
2017-10-31 00:05:17;2017-10-31 07:52:39;81%;7:47;;;0;5191
2017-11-01 00:08:08;2017-11-01 08:57:11;81%;8:49;;;0;7911
2017-11-02 00:05:35;2017-11-02 08:37:39;96%;8:32;;;0;4503
2017-11-03 01:10:18;2017-11-03 09:31:02;93%;8:20;;;0;7083
2017-11-04 00:59:05;2017-11-04 10:27:18;91%;9:28;;;0;10422
2017-11-05 01:27:21;2017-11-05 08:06:57;77%;7:39;;;0;7078
2017-11-05 22:49:09;2017-11-06 06:53:10;94%;8:04;;;0;8235
2017-11-06 22:40:39;2017-11-07 07:03:17;100%;8:22;;;0;6896
2017-11-07 23:32:29;2017-11-08 00:12:54;9%;0:40;;;0;4963
2017-11-08 00:43:26;2017-11-08 08:02:15;68%;7:18;;;0;4963
2017-11-08 08:03:04;2017-11-08 08:36:35;7%;0:33;;;0;0
2017-11-08 22:44:00;2017-11-09 06:52:24;90%;8:08;;;0;7584
2017-11-09 22:34:34;2017-11-10 06:58:54;89%;8:24;;;0;7805
2017-11-11 01:41:03;2017-11-11 07:49:38;56%;6:08;;;0;19987
2017-11-11 07:50:11;2017-11-11 09:58:53;22%;2:08;;;0;132
2017-11-12 01:06:35;2017-11-12 06:55:43;47%;5:49;;;0;6178
2017-11-12 12:12:20;2017-11-12 12:43:08;7%;0:30;;;0;6017
2017-11-12 22:24:58;2017-11-13 07:07:40;96%;8:42;;;0;8011
2017-11-13 22:47:42;2017-11-14 07:18:34;69%;8:30;;;0;7497
2017-11-14 22:12:35;2017-11-15 06:47:01;71%;8:34;;;0;8293
2017-11-15 22:20:34;2017-11-16 07:12:29;82%;8:51;;;0;8705
2017-11-17 00:48:13;2017-11-17 08:16:37;84%;7:28;;;0;7440
2017-11-17 23:54:59;2017-11-18 07:23:14;66%;7:28;;;0;9398
2017-11-18 07:37:16;2017-11-18 08:03:58;6%;0:26;;;0;27
2017-11-18 22:51:54;2017-11-19 08:05:15;98%;9:13;;;0;1443
2017-11-19 22:51:11;2017-11-20 07:19:27;90%;8:28;;;0;10458
2017-11-21 02:06:06;2017-11-21 08:06:35;70%;6:00;;;0;7611
2017-11-22 00:52:30;2017-11-22 07:37:52;0%;0:00;;;0;4506
2017-11-23 01:43:21;2017-11-23 09:06:38;72%;7:23;;;0;8513
2017-11-26 22:39:25;2017-11-27 07:36:37;81%;8:57;;;0;3752
2017-11-28 23:22:30;2017-11-29 07:21:05;79%;7:58;;;0;3158
2017-11-29 21:52:01;2017-11-30 06:53:11;66%;9:01;;;0;4547
2017-11-30 23:29:53;2017-12-01 07:50:18;81%;8:20;;;0;7562
2017-12-01 23:44:43;2017-12-02 08:36:26;75%;8:51;;;0;4315
2017-12-03 00:33:54;2017-12-03 08:42:52;85%;8:08;;;0;2898
2017-12-04 23:10:53;2017-12-05 07:28:10;69%;8:17;;;0;5131
2017-12-06 00:18:11;2017-12-06 08:43:05;61%;8:24;;;0;5883
